semestre,Catalunya,sexe,edat,concepte,estat,valor
S1/1981,Catalunya,homes,de 0 a 15 anys,població,,814824
S1/1981,Catalunya,homes,de 16 a 64 anys,població,,1839953
S1/1981,Catalunya,homes,65 anys o més,població,,261750
S1/1981,Catalunya,homes,total,població,,2916527
S1/1981,Catalunya,dones,de 0 a 15 anys,població,,769115
S1/1981,Catalunya,dones,de 16 a 64 anys,població,,1872802
S1/1981,Catalunya,dones,65 anys o més,població,,391385
S1/1981,Catalunya,dones,total,població,,3033302
S1/1981,Catalunya,total,de 0 a 15 anys,població,,1583939
S1/1981,Catalunya,total,de 16 a 64 anys,població,,3712755
S1/1981,Catalunya,total,65 anys o més,població,,653135
S1/1981,Catalunya,total,total,població,,5949829
S2/1981,Catalunya,homes,de 0 a 15 anys,població,,807467
S2/1981,Catalunya,homes,de 16 a 64 anys,població,,1848010
S2/1981,Catalunya,homes,65 anys o més,població,,264399
S2/1981,Catalunya,homes,total,població,,2919876
S2/1981,Catalunya,dones,de 0 a 15 anys,població,,761580
S2/1981,Catalunya,dones,de 16 a 64 anys,població,,1879174
S2/1981,Catalunya,dones,65 anys o més,població,,395644
S2/1981,Catalunya,dones,total,població,,3036398
S2/1981,Catalunya,total,de 0 a 15 anys,població,,1569047
S2/1981,Catalunya,total,de 16 a 64 anys,població,,3727184
S2/1981,Catalunya,total,65 anys o més,població,,660043
S2/1981,Catalunya,total,total,població,,5956274
S1/1982,Catalunya,homes,de 0 a 15 anys,població,,800111
S1/1982,Catalunya,homes,de 16 a 64 anys,població,,1856067
S1/1982,Catalunya,homes,65 anys o més,població,,267080
S1/1982,Catalunya,homes,total,població,,2923258
S1/1982,Catalunya,dones,de 0 a 15 anys,població,,754043
S1/1982,Catalunya,dones,de 16 a 64 anys,població,,1885504
S1/1982,Catalunya,dones,65 anys o més,població,,399918
S1/1982,Catalunya,dones,total,població,,3039465
S1/1982,Catalunya,total,de 0 a 15 anys,població,,1554154
S1/1982,Catalunya,total,de 16 a 64 anys,població,,3741571
S1/1982,Catalunya,total,65 anys o més,població,,666998
S1/1982,Catalunya,total,total,població,,5962723
S2/1982,Catalunya,homes,de 0 a 15 anys,població,,792143
S2/1982,Catalunya,homes,de 16 a 64 anys,població,,1864095
S2/1982,Catalunya,homes,65 anys o més,població,,269765
S2/1982,Catalunya,homes,total,població,,2926003
S2/1982,Catalunya,dones,de 0 a 15 anys,població,,746383
S2/1982,Catalunya,dones,de 16 a 64 anys,població,,1892085
S2/1982,Catalunya,dones,65 anys o més,població,,404304
S2/1982,Catalunya,dones,total,població,,3042772
S2/1982,Catalunya,total,de 0 a 15 anys,població,,1538526
S2/1982,Catalunya,total,de 16 a 64 anys,població,,3756180
S2/1982,Catalunya,total,65 anys o més,població,,674069
S2/1982,Catalunya,total,total,població,,5968775
S1/1983,Catalunya,homes,de 0 a 15 anys,població,,784198
S1/1983,Catalunya,homes,de 16 a 64 anys,població,,1872090
S1/1983,Catalunya,homes,65 anys o més,població,,272460
S1/1983,Catalunya,homes,total,població,,2928748
S1/1983,Catalunya,dones,de 0 a 15 anys,població,,738738
S1/1983,Catalunya,dones,de 16 a 64 anys,població,,1898662
S1/1983,Catalunya,dones,65 anys o més,població,,408673
S1/1983,Catalunya,dones,total,població,,3046073
S1/1983,Catalunya,total,de 0 a 15 anys,població,,1522936
S1/1983,Catalunya,total,de 16 a 64 anys,població,,3770752
S1/1983,Catalunya,total,65 anys o més,població,,681133
S1/1983,Catalunya,total,total,població,,5974821
S2/1983,Catalunya,homes,de 0 a 15 anys,població,,773788
S2/1983,Catalunya,homes,de 16 a 64 anys,població,,1880094
S2/1983,Catalunya,homes,65 anys o més,població,,275322
S2/1983,Catalunya,homes,total,població,,2929204
S2/1983,Catalunya,dones,de 0 a 15 anys,població,,729372
S2/1983,Catalunya,dones,de 16 a 64 anys,població,,1904685
S2/1983,Catalunya,dones,65 anys o més,població,,413369
S2/1983,Catalunya,dones,total,població,,3047426
S2/1983,Catalunya,total,de 0 a 15 anys,població,,1503160
S2/1983,Catalunya,total,de 16 a 64 anys,població,,3784779
S2/1983,Catalunya,total,65 anys o més,població,,688691
S2/1983,Catalunya,total,total,població,,5976630
S1/1984,Catalunya,homes,de 0 a 15 anys,població,,763377
S1/1984,Catalunya,homes,de 16 a 64 anys,població,,1888089
S1/1984,Catalunya,homes,65 anys o més,població,,278150
S1/1984,Catalunya,homes,total,població,,2929616
S1/1984,Catalunya,dones,de 0 a 15 anys,població,,720024
S1/1984,Catalunya,dones,de 16 a 64 anys,població,,1910726
S1/1984,Catalunya,dones,65 anys o més,població,,418060
S1/1984,Catalunya,dones,total,població,,3048810
S1/1984,Catalunya,total,de 0 a 15 anys,població,,1483401
S1/1984,Catalunya,total,de 16 a 64 anys,població,,3798815
S1/1984,Catalunya,total,65 anys o més,població,,696210
S1/1984,Catalunya,total,total,població,,5978426
S2/1984,Catalunya,homes,de 0 a 15 anys,població,,753334
S2/1984,Catalunya,homes,de 16 a 64 anys,població,,1895291
S2/1984,Catalunya,homes,65 anys o més,població,,281167
S2/1984,Catalunya,homes,total,població,,2929792
S2/1984,Catalunya,dones,de 0 a 15 anys,població,,710321
S2/1984,Catalunya,dones,de 16 a 64 anys,població,,1916649
S2/1984,Catalunya,dones,65 anys o més,població,,422617
S2/1984,Catalunya,dones,total,població,,3049587
S2/1984,Catalunya,total,de 0 a 15 anys,població,,1463655
S2/1984,Catalunya,total,de 16 a 64 anys,població,,3811940
S2/1984,Catalunya,total,65 anys o més,població,,703784
S2/1984,Catalunya,total,total,població,,5979379
S1/1985,Catalunya,homes,de 0 a 15 anys,població,,743330
S1/1985,Catalunya,homes,de 16 a 64 anys,població,,1902475
S1/1985,Catalunya,homes,65 anys o més,població,,284136
S1/1985,Catalunya,homes,total,població,,2929941
S1/1985,Catalunya,dones,de 0 a 15 anys,població,,700628
S1/1985,Catalunya,dones,de 16 a 64 anys,població,,1922578
S1/1985,Catalunya,dones,65 anys o més,població,,427175
S1/1985,Catalunya,dones,total,població,,3050381
S1/1985,Catalunya,total,de 0 a 15 anys,població,,1443958
S1/1985,Catalunya,total,de 16 a 64 anys,població,,3825053
S1/1985,Catalunya,total,65 anys o més,població,,711311
S1/1985,Catalunya,total,total,població,,5980322
S2/1985,Catalunya,homes,de 0 a 15 anys,població,,732468
S2/1985,Catalunya,homes,de 16 a 64 anys,població,,1907873
S2/1985,Catalunya,homes,65 anys o més,població,,288337
S2/1985,Catalunya,homes,total,població,,2928678
S2/1985,Catalunya,dones,de 0 a 15 anys,població,,691129
S2/1985,Catalunya,dones,de 16 a 64 anys,població,,1926028
S2/1985,Catalunya,dones,65 anys o més,població,,433308
S2/1985,Catalunya,dones,total,població,,3050465
S2/1985,Catalunya,total,de 0 a 15 anys,població,,1423597
S2/1985,Catalunya,total,de 16 a 64 anys,població,,3833901
S2/1985,Catalunya,total,65 anys o més,població,,721645
S2/1985,Catalunya,total,total,població,,5979143
S1/1986,Catalunya,homes,de 0 a 15 anys,població,,721627
S1/1986,Catalunya,homes,de 16 a 64 anys,població,,1913279
S1/1986,Catalunya,homes,65 anys o més,població,,292548
S1/1986,Catalunya,homes,total,població,,2927454
S1/1986,Catalunya,dones,de 0 a 15 anys,població,,681625
S1/1986,Catalunya,dones,de 16 a 64 anys,població,,1929515
S1/1986,Catalunya,dones,65 anys o més,població,,439438
S1/1986,Catalunya,dones,total,població,,3050578
S1/1986,Catalunya,total,de 0 a 15 anys,població,,1403252
S1/1986,Catalunya,total,de 16 a 64 anys,població,,3842794
S1/1986,Catalunya,total,65 anys o més,població,,731986
S1/1986,Catalunya,total,total,població,,5978032
S2/1986,Catalunya,homes,de 0 a 15 anys,població,,712711
S2/1986,Catalunya,homes,de 16 a 64 anys,població,,1921194
S2/1986,Catalunya,homes,65 anys o més,població,,298435
S2/1986,Catalunya,homes,total,població,,2932340
S2/1986,Catalunya,dones,de 0 a 15 anys,població,,672656
S2/1986,Catalunya,dones,de 16 a 64 anys,població,,1937766
S2/1986,Catalunya,dones,65 anys o més,població,,445979
S2/1986,Catalunya,dones,total,població,,3056401
S2/1986,Catalunya,total,de 0 a 15 anys,població,,1385367
S2/1986,Catalunya,total,de 16 a 64 anys,població,,3858960
S2/1986,Catalunya,total,65 anys o més,població,,744414
S2/1986,Catalunya,total,total,població,,5988741
S1/1987,Catalunya,homes,de 0 a 15 anys,població,,703771
S1/1987,Catalunya,homes,de 16 a 64 anys,població,,1929080
S1/1987,Catalunya,homes,65 anys o més,població,,304344
S1/1987,Catalunya,homes,total,població,,2937195
S1/1987,Catalunya,dones,de 0 a 15 anys,població,,663699
S1/1987,Catalunya,dones,de 16 a 64 anys,població,,1946001
S1/1987,Catalunya,dones,65 anys o més,població,,452425
S1/1987,Catalunya,dones,total,població,,3062125
S1/1987,Catalunya,total,de 0 a 15 anys,població,,1367470
S1/1987,Catalunya,total,de 16 a 64 anys,població,,3875081
S1/1987,Catalunya,total,65 anys o més,població,,756769
S1/1987,Catalunya,total,total,població,,5999320
S2/1987,Catalunya,homes,de 0 a 15 anys,població,,694045
S2/1987,Catalunya,homes,de 16 a 64 anys,població,,1937661
S2/1987,Catalunya,homes,65 anys o més,població,,310523
S2/1987,Catalunya,homes,total,població,,2942229
S2/1987,Catalunya,dones,de 0 a 15 anys,població,,654140
S2/1987,Catalunya,dones,de 16 a 64 anys,població,,1953785
S2/1987,Catalunya,dones,65 anys o més,població,,460153
S2/1987,Catalunya,dones,total,població,,3068078
S2/1987,Catalunya,total,de 0 a 15 anys,població,,1348185
S2/1987,Catalunya,total,de 16 a 64 anys,població,,3891446
S2/1987,Catalunya,total,65 anys o més,població,,770676
S2/1987,Catalunya,total,total,població,,6010307
S1/1988,Catalunya,homes,de 0 a 15 anys,població,,684330
S1/1988,Catalunya,homes,de 16 a 64 anys,població,,1946261
S1/1988,Catalunya,homes,65 anys o més,població,,316692
S1/1988,Catalunya,homes,total,població,,2947283
