row,col,r,c,value,status
Turismes,Barcelona,1,1,2401161,
Turismes,Girona,1,2,428387,
Turismes,Lleida,1,3,236966,
Turismes,Tarragona,1,4,436130,
Turismes,Catalunya,1,5,3502644,
Turismes,Espanya,1,6,25356594,
Turismes,"% Cat./Esp.",1,7,13.8,
Autobusos,Barcelona,2,1,6782,
Autobusos,Girona,2,2,1105,
Autobusos,Lleida,2,3,528,
Autobusos,Tarragona,2,4,1279,
Autobusos,Catalunya,2,5,9694,
Autobusos,Espanya,2,6,66638,
Autobusos,"% Cat./Esp.",2,7,14.5,
Motocicletes,Barcelona,3,1,713033,
Motocicletes,Girona,3,2,110031,
Motocicletes,Lleida,3,3,36953,
Motocicletes,Tarragona,3,4,87878,
Motocicletes,Catalunya,3,5,947895,
Motocicletes,Espanya,3,6,4162850,
Motocicletes,"% Cat./Esp.",3,7,22.8,
"Camions i furgonetes",Barcelona,4,1,447676,
"Camions i furgonetes",Girona,4,2,112886,
"Camions i furgonetes",Lleida,4,3,66321,
"Camions i furgonetes",Tarragona,4,4,99871,
"Camions i furgonetes",Catalunya,4,5,726754,
"Camions i furgonetes",Espanya,4,6,5148231,
"Camions i furgonetes","% Cat./Esp.",4,7,14.1,
"Tractors industrials",Barcelona,5,1,18497,
"Tractors industrials",Girona,5,2,4095,
"Tractors industrials",Lleida,5,3,6154,
"Tractors industrials",Tarragona,5,4,4036,
"Tractors industrials",Catalunya,5,5,32782,
"Tractors industrials",Espanya,5,6,253334,
"Tractors industrials","% Cat./Esp.",5,7,12.9,
Ciclomotors,Barcelona,6,1,154006,
Ciclomotors,Girona,6,2,39713,
Ciclomotors,Lleida,6,3,16577,
Ciclomotors,Tarragona,6,4,35142,
Ciclomotors,Catalunya,6,5,245438,
Ciclomotors,Espanya,6,6,1815623,
Ciclomotors,"% Cat./Esp.",6,7,1.9,
Altres,Barcelona,7,1,112059,
Altres,Girona,7,2,23752,
Altres,Lleida,7,3,21278,
Altres,Tarragona,7,4,21396,
Altres,Catalunya,7,5,178485,
Altres,Espanya,7,6,1087591,
Altres,"% Cat./Esp.",7,7,16.4,
Total,Barcelona,8,1,3853214,
Total,Girona,8,2,719969,
Total,Lleida,8,3,384777,
Total,Tarragona,8,4,685732,
Total,Catalunya,8,5,5643692,
Total,Espanya,8,6,37890861,
Total,"% Cat./Esp.",8,7,15,
